"Team 1";"Team 2";"Score";"Etapa"
"DMO";"EDG";"2 - 0";"Week 5"
"FPX";"V5";"2 - 1";"Week 5"
"LNG";"BLG";"0 - 2";"Week 5"
"RNG";"WE";"1 - 2";"Week 5"
"DMO";"iG";"1 - 2";"Week 5"
"SN";"LGD";"2 - 0";"Week 5"
"RW";"OMG";"1 - 2";"Week 5"
"WE";"JDG";"1 - 2";"Week 5"
"TES";"LNG";"2 - 0";"Week 5"
"VG";"ES";"2 - 1";"Week 5"
"RW";"EDG";"0 - 2";"Week 5"
"iG";"JDG";"0 - 2";"Week 5"
"ES";"V5";"0 - 2";"Week 5"
"RNG";"FPX";"1 - 2";"Week 5"
"WE";"DMO";"2 - 1";"Week 6"
"JDG";"EDG";"2 - 0";"Week 6"
"VG";"RW";"2 - 1";"Week 6"
"SN";"ES";"2 - 1";"Week 6"
"LNG";"V5";"0 - 2";"Week 6"
"BLG";"iG";"1 - 2";"Week 6"
"VG";"FPX";"2 - 1";"Week 6"
"LGD";"JDG";"1 - 2";"Week 6"
"OMG";"BLG";"1 - 2";"Week 6"
"iG";"ES";"2 - 1";"Week 6"
"DMO";"RW";"1 - 2";"Week 6"
"TES";"FPX";"2 - 0";"Week 6"
"LGD";"OMG";"2 - 1";"Week 6"
"EDG";"RNG";"0 - 2";"Week 6"
"TES";"V5";"1 - 2";"Week 7"
"SN";"BLG";"2 - 1";"Week 7"
"WE";"LNG";"2 - 1";"Week 7"
"LGD";"RW";"0 - 2";"Week 7"
"ES";"OMG";"2 - 1";"Week 7"
"JDG";"VG";"2 - 1";"Week 7"
"LNG";"iG";"0 - 2";"Week 7"
"RNG";"SN";"1 - 2";"Week 7"
"RW";"FPX";"2 - 0";"Week 7"
"EDG";"LGD";"0 - 2";"Week 7"
"BLG";"DMO";"2 - 0";"Week 7"
"iG";"RNG";"2 - 1";"Week 7"
"VG";"TES";"0 - 2";"Week 7"
"JDG";"FPX";"2 - 0";"Week 7"
"WE";"LGD";"0 - 2";"Week 8"
"V5";"iG";"1 - 2";"Week 8"
"OMG";"FPX";"0 - 2";"Week 8"
"VG";"EDG";"1 - 2";"Week 8"
"RW";"ES";"2 - 0";"Week 8"
"WE";"BLG";"2 - 1";"Week 8"
"DMO";"TES";"0 - 2";"Week 8"
"LNG";"JDG";"1 - 2";"Week 8"
"V5";"SN";"1 - 2";"Week 8"
"RNG";"LGD";"1 - 2";"Week 8"
"VG";"OMG";"2 - 1";"Week 8"
"EDG";"FPX";"1 - 2";"Week 8"
"BLG";"JDG";"0 - 2";"Week 8"
"iG";"TES";"2 - 0";"Week 8"
"OMG";"SN";"1 - 2";"Week 9"
"DMO";"VG";"0 - 2";"Week 9"
"BLG";"RW";"2 - 0";"Week 9"
"EDG";"LNG";"2 - 0";"Week 9"
"JDG";"ES";"2 - 0";"Week 9"
"FPX";"LGD";"2 - 1";"Week 9"
"TES";"SN";"2 - 0";"Week 9"
"WE";"V5";"1 - 2";"Week 9"
"RNG";"DMO";"2 - 0";"Week 9"
"LGD";"VG";"2 - 0";"Week 9"
"RW";"LNG";"0 - 2";"Week 9"
"EDG";"BLG";"2 - 0";"Week 9"
"iG";"OMG";"2 - 0";"Week 9"
"V5";"JDG";"2 - 1";"Week 9"
"ES";"WE";"0 - 2";"Week 9"
"TES";"RNG";"0 - 2";"Week 9"
"FPX";"DMO";"2 - 0";"Week 10"
"BLG";"LGD";"1 - 2";"Week 10"
"EDG";"V5";"2 - 0";"Week 10"
"OMG";"WE";"2 - 1";"Week 10"
"LNG";"LGD";"2 - 0";"Week 10"
"ES";"TES";"1 - 2";"Week 10"
"V5";"RW";"2 - 0";"Week 10"
"RNG";"BLG";"0 - 2";"Week 10"
"SN";"VG";"2 - 1";"Week 10"
"JDG";"OMG";"2 - 0";"Week 10"
"LNG";"DMO";"2 - 0";"Week 10"
"ES";"EDG";"0 - 2";"Week 10"
"TES";"WE";"2 - 1";"Week 10"
"RW";"RNG";"0 - 2";"Week 10"
"iG";"VG";"1 - 2";"Week 10"
"FPX";"SN";"1 - 2";"Week 10"
